@relation 'C:\\Research\\Software\\Ayllu\\data\\2DLinearlySeparable.libsvm'

@attribute att_1 numeric
@attribute att_2 numeric
@attribute class {1,2}

@data
{0 0.144,1 0.366,2 1}
{0 0.162,1 0.442,2 1}
{0 0.166,1 0.49,2 1}
{0 0.206,1 0.594,2 1}
{0 0.24,1 0.612,2 1}
{0 0.254,1 0.61,2 1}
{0 0.216,1 0.646,2 1}
{0 0.194,1 0.628,2 1}
{0 0.192,1 0.66,2 1}
{0 0.192,1 0.704,2 1}
{0 0.202,1 0.732,2 1}
{0 0.226,1 0.72,2 1}
{0 0.248,1 0.676,2 1}
{0 0.264,1 0.648,2 1}
{0 0.29,1 0.612,2 1}
{0 0.322,1 0.572,2 1}
{0 0.352,1 0.538,2 1}
{0 0.392,1 0.504,2 1}
{0 0.404,1 0.49,2 1}
{0 0.456,1 0.426,2 1}
{0 0.488,1 0.382,2 1}
{0 0.514,1 0.35,2 1}
{0 0.546,1 0.28,2 1}
{0 0.574,1 0.264,2 1}
{0 0.618,1 0.216,2 1}
{0 0.644,1 0.184,2 1}
{0 0.668,1 0.158,2 1}
{0 0.706,1 0.108,2 1}
{0 0.722,1 0.092,2 1}
{0 0.758,1 0.072,2 1}
{0 0.716,1 0.126,2 1}
{0 0.21,1 0.834,2 2}
{0 0.456,1 0.602,2 2}
{0 0.772,1 0.23,2 2}
{0 0.864,1 0.136,2 2}
{0 0.924,1 0.052,2 2}
{0 0.296,1 0.826,2 2}
{0 0.318,1 0.784,2 2}
{0 0.34,1 0.766,2 2}
{0 0.37,1 0.73,2 2}
{0 0.396,1 0.706,2 2}
{0 0.426,1 0.674,2 2}
{0 0.454,1 0.65,2 2}
{0 0.464,1 0.664,2 2}
{0 0.454,1 0.686,2 2}
{0 0.454,1 0.69,2 2}
{0 0.438,1 0.71,2 2}
{0 0.436,1 0.712,2 2}
{0 0.418,1 0.734,2 2}
{0 0.418,1 0.734,2 2}
{0 0.396,1 0.766,2 2}
{0 0.36,1 0.802,2 2}
{0 0.376,1 0.782,2 2}
{0 0.342,1 0.812,2 2}
{0 0.362,1 0.842,2 2}
{0 0.402,1 0.848,2 2}
{0 0.41,1 0.808,2 2}
{0 0.434,1 0.768,2 2}
{0 0.462,1 0.722,2 2}
{0 0.486,1 0.662,2 2}
{0 0.48,1 0.638,2 2}
{0 0.514,1 0.596,2 2}
{0 0.548,1 0.554,2 2}
{0 0.574,1 0.522,2 2}
{0 0.596,1 0.506,2 2}
{0 0.622,1 0.48,2 2}
{0 0.642,1 0.454,2 2}
{0 0.66,1 0.424,2 2}
{0 0.698,1 0.396,2 2}
{0 0.716,1 0.376,2 2}
{0 0.732,1 0.356,2 2}
{0 0.768,1 0.32,2 2}
{0 0.79,1 0.288,2 2}
{0 0.814,1 0.262,2 2}
{0 0.838,1 0.236,2 2}
{0 0.858,1 0.21,2 2}
{0 0.884,1 0.178,2 2}
{0 0.914,1 0.138,2 2}
{0 0.938,1 0.144,2 2}
{0 0.954,1 0.164,2 2}
{0 0.938,1 0.166,2 2}
{0 0.918,1 0.19,2 2}
{0 0.904,1 0.216,2 2}
{0 0.878,1 0.242,2 2}
{0 0.862,1 0.268,2 2}
{0 0.838,1 0.286,2 2}
{0 0.806,1 0.338,2 2}
{0 0.82,1 0.316,2 2}
{0 0.776,1 0.364,2 2}
{0 0.76,1 0.382,2 2}
{0 0.732,1 0.424,2 2}
{0 0.69,1 0.462,2 2}
{0 0.664,1 0.484,2 2}
{0 0.676,1 0.45,2 2}
{0 0.7,1 0.418,2 2}
{0 0.694,1 0.374,2 2}
{0 0.706,1 0.354,2 2}
{0 0.742,1 0.322,2 2}
{0 0.77,1 0.282,2 2}
{0 0.79,1 0.256,2 2}
{0 0.82,1 0.216,2 2}
{0 0.856,1 0.172,2 2}
{0 0.68,1 0.38,2 2}
{0 0.646,1 0.404,2 2}
{0 0.628,1 0.436,2 2}
{0 0.588,1 0.49,2 2}
{0 0.554,1 0.524,2 2}
{0 0.558,1 0.554,2 2}
{0 0.538,1 0.6,2 2}
{0 0.596,1 0.554,2 2}
{0 0.61,1 0.52,2 2}
{0 0.634,1 0.51,2 2}
{0 0.54,1 0.624,2 2}
{0 0.566,1 0.58,2 2}
{0 0.576,1 0.568,2 2}
{0 0.536,1 0.57,2 2}
{0 0.494,1 0.59,2 2}
{0 0.528,1 0.648,2 2}
{0 0.504,1 0.78,2 2}
{0 0.514,1 0.756,2 2}
{0 0.532,1 0.668,2 2}
{0 0.554,1 0.696,2 2}
{0 0.53,1 0.69,2 2}
{0 0.572,1 0.652,2 2}
{0 0.614,1 0.596,2 2}
{0 0.644,1 0.566,2 2}
{0 0.672,1 0.552,2 2}
{0 0.704,1 0.512,2 2}
{0 0.74,1 0.474,2 2}
{0 0.782,1 0.42,2 2}
{0 0.832,1 0.33,2 2}
{0 0.864,1 0.304,2 2}
{0 0.898,1 0.27,2 2}
{0 0.926,1 0.212,2 2}
{0 0.922,1 0.26,2 2}
{0 0.892,1 0.304,2 2}
{0 0.842,1 0.37,2 2}
{0 0.818,1 0.406,2 2}
{0 0.87,1 0.366,2 2}
{0 0.902,1 0.324,2 2}
{0 0.88,1 0.384,2 2}
{0 0.85,1 0.432,2 2}
{0 0.83,1 0.442,2 2}
{0 0.79,1 0.454,2 2}
{0 0.752,1 0.494,2 2}
{0 0.73,1 0.538,2 2}
{0 0.658,1 0.61,2 2}
{0 0.688,1 0.57,2 2}
{0 0.64,1 0.614,2 2}
{0 0.624,1 0.642,2 2}
{0 0.596,1 0.624,2 2}
{0 0.586,1 0.68,2 2}
{0 0.502,1 0.732,2 2}
{0 0.508,1 0.688,2 2}
{0 0.48,1 0.766,2 2}
{0 0.46,1 0.814,2 2}
{0 0.524,1 0.8,2 2}
{0 0.474,1 0.85,2 2}
{0 0.522,1 0.842,2 2}
{0 0.638,1 0.818,2 2}
{0 0.704,1 0.822,2 2}
{0 0.814,1 0.79,2 2}
{0 0.902,1 0.764,2 2}
{0 0.952,1 0.672,2 2}
{0 0.952,1 0.524,2 2}
{0 0.954,1 0.454,2 2}
{0 0.954,1 0.396,2 2}
{0 0.954,1 0.286,2 2}
{0 0.956,1 0.246,2 2}
{0 0.908,1 0.364,2 2}
{0 0.94,1 0.336,2 2}
{0 0.918,1 0.428,2 2}
{0 0.888,1 0.406,2 2}
{0 0.92,1 0.398,2 2}
{0 0.89,1 0.448,2 2}
{0 0.832,1 0.604,2 2}
{0 0.838,1 0.512,2 2}
{0 0.864,1 0.476,2 2}
{0 0.906,1 0.5,2 2}
{0 0.9,1 0.566,2 2}
{0 0.826,1 0.56,2 2}
{0 0.784,1 0.54,2 2}
{0 0.796,1 0.5,2 2}
{0 0.818,1 0.48,2 2}
{0 0.778,1 0.554,2 2}
{0 0.776,1 0.58,2 2}
{0 0.782,1 0.59,2 2}
{0 0.794,1 0.656,2 2}
{0 0.74,1 0.622,2 2}
{0 0.752,1 0.57,2 2}
{0 0.754,1 0.552,2 2}
{0 0.69,1 0.63,2 2}
{0 0.712,1 0.6,2 2}
{0 0.666,1 0.682,2 2}
{0 0.698,1 0.658,2 2}
{0 0.73,1 0.66,2 2}
{0 0.734,1 0.694,2 2}
{0 0.756,1 0.698,2 2}
{0 0.772,1 0.698,2 2}
{0 0.772,1 0.698,2 2}
{0 0.806,1 0.684,2 2}
{0 0.84,1 0.666,2 2}
{0 0.868,1 0.64,2 2}
{0 0.864,1 0.566,2 2}
{0 0.874,1 0.536,2 2}
{0 0.914,1 0.546,2 2}
{0 0.916,1 0.596,2 2}
{0 0.94,1 0.574,2 2}
{0 0.938,1 0.676,2 2}
{0 0.908,1 0.694,2 2}
{0 0.906,1 0.694,2 2}
{0 0.906,1 0.694,2 2}
{0 0.89,1 0.686,2 2}
{0 0.914,1 0.648,2 2}
{0 0.942,1 0.62,2 2}
{0 0.872,1 0.594,2 2}
{0 0.762,1 0.652,2 2}
{0 0.778,1 0.62,2 2}
{0 0.81,1 0.624,2 2}
{0 0.794,1 0.73,2 2}
{0 0.834,1 0.724,2 2}
{0 0.836,1 0.698,2 2}
{0 0.868,1 0.696,2 2}
{0 0.848,1 0.748,2 2}
{0 0.9,1 0.744,2 2}
{0 0.924,1 0.728,2 2}
{0 0.868,1 0.788,2 2}
{0 0.726,1 0.784,2 2}
{0 0.678,1 0.7,2 2}
{0 0.706,1 0.708,2 2}
{0 0.632,1 0.754,2 2}
{0 0.63,1 0.708,2 2}
{0 0.642,1 0.672,2 2}
{0 0.658,1 0.66,2 2}
{0 0.658,1 0.634,2 2}
{0 0.726,1 0.568,2 2}
{0 0.604,1 0.714,2 2}
{0 0.568,1 0.744,2 2}
{0 0.588,1 0.752,2 2}
{0 0.578,1 0.786,2 2}
{0 0.622,1 0.772,2 2}
{0 0.676,1 0.752,2 2}
{0 0.7,1 0.726,2 2}
{0 0.728,1 0.754,2 2}
{0 0.736,1 0.758,2 2}
{0 0.744,1 0.756,2 2}
{0 0.746,1 0.756,2 2}
{0 0.752,1 0.716,2 2}
{0 0.794,1 0.784,2 2}
{0 0.81,1 0.752,2 2}
{0 0.836,1 0.776,2 2}
{0 0.884,1 0.71,2 2}
{0 0.846,1 0.802,2 2}
{0 0.766,1 0.812,2 2}
{0 0.74,1 0.788,2 2}
{0 0.774,1 0.762,2 2}
{0 0.7,1 0.776,2 2}
{0 0.664,1 0.792,2 2}
{0 0.61,1 0.792,2 2}
{0 0.588,1 0.832,2 2}
{0 0.636,1 0.86,2 2}
{0 0.702,1 0.844,2 2}
{0 0.756,1 0.842,2 2}
{0 0.818,1 0.806,2 2}
{0 0.802,1 0.826,2 2}
{0 0.86,1 0.844,2 2}
{0 0.854,1 0.81,2 2}
{0 0.868,1 0.754,2 2}
{0 0.922,1 0.718,2 2}
{0 0.948,1 0.706,2 2}
{0 0.952,1 0.752,2 2}
{0 0.93,1 0.8,2 2}
{0 0.946,1 0.838,2 2}
{0 0.93,1 0.818,2 2}
{0 0.944,1 0.756,2 2}
{0 0.932,1 0.748,2 2}
{0 0.898,1 0.802,2 2}
{0 0.922,1 0.774,2 2}
{0 0.892,1 0.848,2 2}
{0 0.878,1 0.814,2 2}
{0 0.908,1 0.818,2 2}
{0 0.752,1 0.878,2 2}
{0 0.71,1 0.888,2 2}
{0 0.708,1 0.872,2 2}
{0 0.66,1 0.82,2 2}
{0 0.692,1 0.814,2 2}
{0 0.88,1 0.554,2 2}
{0 0.894,1 0.586,2 2}
{0 0.918,1 0.594,2 2}
{0 0.936,1 0.62,2 2}
{0 0.822,1 0.372,2 2}
{0 0.792,1 0.384,2 2}
{0 0.758,1 0.432,2 2}
{0 0.726,1 0.46,2 2}
{0 0.71,1 0.5,2 2}
{0 0.66,1 0.528,2 2}
{0 0.696,1 0.528,2 2}
{0 0.756,1 0.512,2 2}
{0 0.838,1 0.532,2 2}
{0 0.93,1 0.454,2 2}
{0 0.94,1 0.488,2 2}
{0 0.926,1 0.526,2 2}
{0 0.888,1 0.562,2 2}
{0 0.848,1 0.624,2 2}
{0 0.848,1 0.624,2 2}
{0 0.81,1 0.684,2 2}
{0 0.81,1 0.684,2 2}
{0 0.786,1 0.712,2 2}
{0 0.786,1 0.712,2 2}
{0 0.676,1 0.752,2 2}
{0 0.652,1 0.718,2 2}
{0 0.898,1 0.488,2 2}
{0 0.916,1 0.468,2 2}
{0 0.856,1 0.4,2 2}
{0 0.866,1 0.334,2 2}
{0 0.892,1 0.334,2 2}
{0 0.918,1 0.292,2 2}
{0 0.948,1 0.312,2 2}
{0 0.942,1 0.37,2 2}
{0 0.942,1 0.45,2 2}
{0 0.942,1 0.45,2 2}
{0 0.826,1 0.586,2 2}
{0 0.586,1 0.852,2 2}
{0 0.556,1 0.792,2 2}
{0 0.554,1 0.774,2 2}
{0 0.554,1 0.774,2 2}
{0 0.54,1 0.712,2 2}
{0 0.566,1 0.698,2 2}
{0 0.576,1 0.608,2 2}
{0 0.606,1 0.574,2 2}
{0 0.63,1 0.542,2 2}
{0 0.746,1 0.604,2 2}
{0 0.83,1 0.644,2 2}
{0 0.872,1 0.672,2 2}
{0 0.884,1 0.624,2 2}
{0 0.912,1 0.618,2 2}
{0 0.908,1 0.668,2 2}
{0 0.884,1 0.504,2 2}
{0 0.77,1 0.472,2 2}
